gene_id,cluster
FBgn0051664,4
FBgn0036619,4
FBgn0038236,3
FBgn0038095,2
FBgn0030928,4
FBgn0259973,0
FBgn0000053,3
FBgn0037870,4
FBgn0052054,0
FBgn0028514,2
FBgn0034885,1
FBgn0034511,1
FBgn0010385,0
FBgn0038530,0
FBgn0031277,3
FBgn0053301,0
FBgn0050287,2
FBgn0033789,3
FBgn0032382,3
FBgn0034407,1
FBgn0034328,3
FBgn0033027,4
FBgn0270926,0
FBgn0262531,4
FBgn0035300,0
FBgn0051041,2
FBgn0052751,2
FBgn0263199,1
FBgn0038214,4
FBgn0037724,3
FBgn0031470,2
FBgn0026721,3
FBgn0013680,3
FBgn0029831,3
FBgn0040734,3
FBgn0039873,3
FBgn0039768,0
FBgn0032266,0
FBgn0034296,1
FBgn0032144,1
FBgn0033296,1
FBgn0052072,3
FBgn0020513,1
FBgn0031034,0
FBgn0034382,3
FBgn0039313,1
FBgn0033788,1
FBgn0034289,3
FBgn0032669,3
FBgn0002571,3
FBgn0041182,1
FBgn0263080,4
FBgn0033234,0
FBgn0043576,4
FBgn0266405,3
FBgn0031562,3
FBgn0035929,4
FBgn0038719,3
FBgn0031973,0
FBgn0027578,3
FBgn0053470,1
FBgn0261805,4
FBgn0031701,1
FBgn0039475,0
FBgn0025680,3
FBgn0038865,3
FBgn0032067,2
FBgn0032253,0
FBgn0034429,2
FBgn0039203,3
FBgn0038914,0
FBgn0053346,3
FBgn0026755,0
FBgn0028841,4
FBgn0039476,4
FBgn0034295,1
FBgn0013276,3
FBgn0030911,2
FBgn0023495,2
FBgn0085771,1
FBgn0028945,4
FBgn0053337,2
FBgn0052185,0
FBgn0265922,2
FBgn0030993,0
FBgn0036023,4
FBgn0036767,0
FBgn0052368,0
FBgn0031418,1
FBgn0036831,4
FBgn0039593,4
FBgn0034664,3
FBgn0033297,1
FBgn0038701,3
FBgn0040653,1
FBgn0036030,1
FBgn0041581,1
FBgn0023197,1
FBgn0000279,0
FBgn0053510,2
FBgn0030981,0
FBgn0264775,4
FBgn0032002,4
FBgn0029932,3
FBgn0032381,0
FBgn0046689,4
FBgn0051106,3
FBgn0031689,3
FBgn0038702,1
FBgn0040736,1
FBgn0259164,4
FBgn0038290,4
FBgn0283461,1
FBgn0085256,0
FBgn0035968,3
FBgn0037974,3
FBgn0034317,4
FBgn0000276,3
FBgn0040775,0
FBgn0050360,1
FBgn0038160,4
FBgn0259682,3
FBgn0039471,1
FBgn0085265,4
FBgn0037387,1
FBgn0012034,1
FBgn0037386,3
FBgn0036449,3
FBgn0034663,1
FBgn0036363,2
FBgn0033271,3
FBgn0027579,1
FBgn0037396,0
FBgn0033774,1
FBgn0001114,1
FBgn0034761,3
FBgn0031412,2
FBgn0052279,2
FBgn0085753,1
FBgn0037782,0
FBgn0283480,3
FBgn0030001,2
FBgn0027584,1
FBgn0013683,4
FBgn0014018,1
FBgn0053511,4
FBgn0052107,4
FBgn0259140,4
FBgn0040096,2
FBgn0038299,3
FBgn0034480,3
FBgn0010038,0
FBgn0267511,1
FBgn0003358,3
FBgn0036992,1
FBgn0035978,1
FBgn0000406,1
FBgn0053926,0
FBgn0262146,0
FBgn0039239,2
FBgn0267515,3
FBgn0002939,0
FBgn0015316,4
FBgn0037801,0
FBgn0033203,4
FBgn0002569,3
FBgn0041183,2
FBgn0038450,3
FBgn0041105,2
FBgn0267520,3
FBgn0010044,4
FBgn0028519,2
FBgn0053533,3
FBgn0063493,0
FBgn0036780,4
FBgn0039472,0
FBgn0030929,3
FBgn0035445,4
FBgn0034318,0
FBgn0085195,1
FBgn0050042,0
FBgn0038840,3
FBgn0261567,2
FBgn0037684,3
FBgn0031428,0
FBgn0020908,1
FBgn0027657,3
FBgn0014031,3
FBgn0050026,3
FBgn0028396,1
FBgn0002565,0
FBgn0002719,1
FBgn0053192,0
FBgn0035355,0
FBgn0039685,3
FBgn0025583,1
FBgn0063492,0
FBgn0032068,0
FBgn0010040,2
FBgn0262721,4
FBgn0054040,0
FBgn0029172,2
FBgn0004240,1
FBgn0005660,4
FBgn0261575,1
FBgn0003719,4
FBgn0032076,3
FBgn0039323,4
FBgn0005664,0
FBgn0050091,2
FBgn0033439,4
FBgn0034294,4
FBgn0035360,0
FBgn0085819,1
FBgn0050090,4
FBgn0035189,3
FBgn0039298,1
FBgn0034160,4
FBgn0085520,0
FBgn0054026,3
FBgn0259896,4
