gene_id,hours,time_point,mean_log2_cpm,ctrl_expr,log2fc
FBgn0000003,1,2,4.777345911006397,5.068836531532488,-0.2914906205260914
FBgn0000003,2,3,4.436575497552164,5.068836531532488,-0.6322610339803241
FBgn0000003,3,4,4.183857250329741,5.068836531532488,-0.8849792812027477
FBgn0000003,4,5,4.883914191390428,5.068836531532488,-0.18492234014206055
FBgn0000003,5,6,6.243889267664587,5.068836531532488,1.1750527361320984
FBgn0000003,6,7,5.272069332252775,5.068836531532488,0.20323280072028638
FBgn0000003,8,8,4.8496974202536185,5.068836531532488,-0.21913911127886987
FBgn0000003,10,9,4.407833724683424,5.068836531532488,-0.6610028068490648
FBgn0000003,12,10,5.219936490074017,5.068836531532488,0.15109995854152825
FBgn0000003,14,11,5.324810603628125,5.068836531532488,0.2559740720956363
FBgn0000003,16,12,5.4019666573299965,5.068836531532488,0.3331301257975081
FBgn0000003,20,13,4.889774663775457,5.068836531532488,-0.17906186775703148
FBgn0000003,24,14,4.6027875239349,5.068836531532488,-0.46604900759758827
FBgn0000003,30,15,4.558918801268817,5.068836531532488,-0.5099177302636715
FBgn0000003,36,16,4.906348699668493,5.068836531532488,-0.16248783186399507
FBgn0000003,42,17,4.905545784199749,5.068836531532488,-0.16329074733273963
FBgn0000003,48,18,5.9826802479699595,5.068836531532488,0.9138437164374711
FBgn0000003,72,19,5.364601568688446,5.068836531532488,0.2957650371559577
FBgn0000003,96,20,5.100049504777397,5.068836531532488,0.03121297324490868
FBgn0000003,120,21,4.7161072812400455,5.068836531532488,-0.35272925029244284
FBgn0000052,1,2,6.811566993683046,6.294781299346588,0.5167856943364582
FBgn0000052,2,3,6.512617444605574,6.294781299346588,0.2178361452589863
FBgn0000052,3,4,5.892242314086425,6.294781299346588,-0.4025389852601631
FBgn0000052,4,5,6.0224385763125925,6.294781299346588,-0.2723427230339954
FBgn0000052,5,6,5.676376120692483,6.294781299346588,-0.6184051786541049
FBgn0000052,6,7,6.185512123455714,6.294781299346588,-0.1092691758908737
FBgn0000052,8,8,6.5234316162644035,6.294781299346588,0.22865031691781557
FBgn0000052,10,9,6.825956469096418,6.294781299346588,0.5311751697498304
FBgn0000052,12,10,6.773227763353193,6.294781299346588,0.4784464640066055
FBgn0000052,14,11,6.15945333937954,6.294781299346588,-0.13532795996704827
FBgn0000052,16,12,6.223073444075176,6.294781299346588,-0.07170785527141188
FBgn0000052,20,13,6.265335999165579,6.294781299346588,-0.029445300181008882
FBgn0000052,24,14,6.700129270996557,6.294781299346588,0.4053479716499693
FBgn0000052,30,15,6.992758909198271,6.294781299346588,0.6979776098516828
FBgn0000052,36,16,6.932245622812452,6.294781299346588,0.6374643234658643
FBgn0000052,42,17,6.210243338407043,6.294781299346588,-0.08453796093954491
FBgn0000052,48,18,7.348059490894746,6.294781299346588,1.0532781915481584
FBgn0000052,72,19,7.618869852251159,6.294781299346588,1.3240885529045707
FBgn0000052,96,20,8.095944695464198,6.294781299346588,1.8011633961176097
FBgn0000052,120,21,7.849311323300199,6.294781299346588,1.5545300239536113
FBgn0000053,1,2,7.128894787856461,6.623383329189712,0.5055114586667484
FBgn0000053,2,3,7.279627404784123,6.623383329189712,0.6562440755944108
FBgn0000053,3,4,6.4383229284464045,6.623383329189712,-0.18506040074330787
FBgn0000053,4,5,6.478324324309524,6.623383329189712,-0.14505900488018852
FBgn0000053,5,6,5.903666113076438,6.623383329189712,-0.7197172161132741
FBgn0000053,6,7,6.357676734960268,6.623383329189712,-0.2657065942294441
FBgn0000053,8,8,6.602631764044187,6.623383329189712,-0.020751565145525674
FBgn0000053,10,9,7.221543131690739,6.623383329189712,0.5981598025010264
FBgn0000053,12,10,6.99045953710986,6.623383329189712,0.3670762079201477
FBgn0000053,14,11,6.680724342837042,6.623383329189712,0.057341013647329575
FBgn0000053,16,12,6.620692397668963,6.623383329189712,-0.0026909315207497286
FBgn0000053,20,13,6.804254304282454,6.623383329189712,0.1808709750927413
FBgn0000053,24,14,7.031063773867054,6.623383329189712,0.4076804446773412
FBgn0000053,30,15,7.454607067408419,6.623383329189712,0.8312237382187062
FBgn0000053,36,16,7.4344986714769306,6.623383329189712,0.8111153422872182
FBgn0000053,42,17,6.8299285568888415,6.623383329189712,0.20654522769912909
FBgn0000053,48,18,8.121387522246607,6.623383329189712,1.4980041930568948
FBgn0000053,72,19,8.646255741962207,6.623383329189712,2.022872412772495
FBgn0000053,96,20,8.84314954814716,6.623383329189712,2.2197662189574476
FBgn0000053,120,21,8.98184572056569,6.623383329189712,2.358462391375978
FBgn0000276,1,2,7.568353543984625,4.827781354602179,2.740572189382446
FBgn0000276,2,3,7.805830378536202,4.827781354602179,2.978049023934023
FBgn0000276,3,4,7.8038888604446655,4.827781354602179,2.976107505842487
FBgn0000276,4,5,7.2649898015283325,4.827781354602179,2.437208446926154
FBgn0000276,5,6,6.812191643253712,4.827781354602179,1.9844102886515333
FBgn0000276,6,7,6.5808975807054475,4.827781354602179,1.753116226103269
FBgn0000276,8,8,6.582493839849431,4.827781354602179,1.7547124852472527
FBgn0000276,10,9,6.366042396891043,4.827781354602179,1.5382610422888643
FBgn0000276,12,10,6.327891828427871,4.827781354602179,1.5001104738256927
FBgn0000276,14,11,5.854989803769783,4.827781354602179,1.0272084491676043
FBgn0000276,16,12,5.88329570205556,4.827781354602179,1.0555143474533812
FBgn0000276,20,13,6.976422022358726,4.827781354602179,2.1486406677565473
FBgn0000276,24,14,5.500847509745311,4.827781354602179,0.6730661551431325
FBgn0000276,30,15,6.633124473255576,4.827781354602179,1.805343118653397
FBgn0000276,36,16,6.082647984023805,4.827781354602179,1.2548666294216266
FBgn0000276,42,17,6.532786357809416,4.827781354602179,1.705005003207237
FBgn0000276,48,18,5.835685431357213,4.827781354602179,1.0079040767550342
FBgn0000276,72,19,6.107934521806515,4.827781354602179,1.280153167204336
FBgn0000276,96,20,5.750476770700667,4.827781354602179,0.9226954160984882
FBgn0000276,120,21,5.644872804378804,4.827781354602179,0.8170914497766253
FBgn0000277,1,2,7.443250047904527,3.3947625333013973,4.04848751460313
FBgn0000277,2,3,7.757781422965532,3.3947625333013973,4.363018889664135
FBgn0000277,3,4,7.783526301995405,3.3947625333013973,4.388763768694007
FBgn0000277,4,5,7.168342735207234,3.3947625333013973,3.7735802019058364
FBgn0000277,5,6,6.391360412662211,3.3947625333013973,2.9965978793608135
FBgn0000277,6,7,6.086621758060184,3.3947625333013973,2.6918592247587863
FBgn0000277,8,8,6.090978538337595,3.3947625333013973,2.6962160050361974
FBgn0000277,10,9,5.604459368298746,3.3947625333013973,2.2096968349973483
FBgn0000277,12,10,5.876201824342209,3.3947625333013973,2.4814392910408114
FBgn0000277,14,11,4.705517962284573,3.3947625333013973,1.310755428983176
FBgn0000277,16,12,4.844331452541813,3.3947625333013973,1.449568919240416
FBgn0000277,20,13,6.379708166294675,3.3947625333013973,2.9849456329932775
FBgn0000277,24,14,4.768572183227187,3.3947625333013973,1.3738096499257897
FBgn0000277,30,15,6.1007388829469225,3.3947625333013973,2.705976349645525
FBgn0000277,36,16,5.376459324433924,3.3947625333013973,1.9816967911325265
FBgn0000277,42,17,5.9565369242716635,3.3947625333013973,2.561774390970266
FBgn0000277,48,18,5.017626069429743,3.3947625333013973,1.6228635361283454
FBgn0000277,72,19,5.612897026070331,3.3947625333013973,2.2181344927689337
FBgn0000277,96,20,4.917228432728567,3.3947625333013973,1.52246589942717
FBgn0000277,120,21,4.610544050524757,3.3947625333013973,1.2157815172233595
FBgn0000278,1,2,4.83498544914663,0.2516625040069079,4.583322945139722
FBgn0000278,2,3,4.4999961357252785,0.2516625040069079,4.248333631718371
FBgn0000278,3,4,4.617028093846827,0.2516625040069079,4.365365589839919
FBgn0000278,4,5,3.3187485267380574,0.2516625040069079,3.0670860227311496
FBgn0000278,5,6,2.2355430559609344,0.2516625040069079,1.9838805519540266
FBgn0000278,6,7,1.717991048487436,0.2516625040069079,1.466328544480528
FBgn0000278,8,8,2.2548488128569453,0.2516625040069079,2.0031863088500375
FBgn0000278,10,9,2.041699885948411,0.2516625040069079,1.7900373819415032
FBgn0000278,12,10,1.4202433015884723,0.2516625040069079,1.1685807975815645
FBgn0000278,14,11,0.5384676716678897,0.2516625040069079,0.2868051676609818
FBgn0000278,16,12,0.9909767705822592,0.2516625040069079,0.7393142665753514
FBgn0000278,20,13,2.1994969572927543,0.2516625040069079,1.9478344532858465
FBgn0000278,24,14,1.4782324324426295,0.2516625040069079,1.2265699284357217
FBgn0000278,30,15,1.4194279231954317,0.2516625040069079,1.1677654191885238
FBgn0000278,36,16,1.4490737992940672,0.2516625040069079,1.1974112952871594
FBgn0000278,42,17,2.4499276112181745,0.2516625040069079,2.1982651072112667
FBgn0000278,48,18,1.205998165814789,0.2516625040069079,0.9543356618078811
FBgn0000278,72,19,2.1109012700168934,0.2516625040069079,1.8592387660099856
FBgn0000278,96,20,1.2389534034109908,0.2516625040069079,0.987290899404083
FBgn0000278,120,21,1.501068497089751,0.2516625040069079,1.2494059930828432
FBgn0000279,1,2,6.794496849923052,0.9939840463820802,5.800512803540972
FBgn0000279,2,3,6.388005888924139,0.9939840463820802,5.39402184254206
FBgn0000279,3,4,6.204371169750204,0.9939840463820802,5.210387123368124
FBgn0000279,4,5,4.714748947481733,0.9939840463820802,3.720764901099653
FBgn0000279,5,6,3.7341269002739375,0.9939840463820802,2.7401428538918573
FBgn0000279,6,7,3.198548270206099,0.9939840463820802,2.204564223824019
FBgn0000279,8,8,4.035131592239149,0.9939840463820802,3.041147545857069
FBgn0000279,10,9,4.064569321914999,0.9939840463820802,3.070585275532919
FBgn0000279,12,10,3.8070842868052837,0.9939840463820802,2.8131002404232035
FBgn0000279,14,11,2.769795819165857,0.9939840463820802,1.775811772783777
FBgn0000279,16,12,2.7290888711507346,0.9939840463820802,1.7351048247686545
FBgn0000279,20,13,4.434927597409562,0.9939840463820802,3.4409435510274817
FBgn0000279,24,14,3.3026129635560584,0.9939840463820802,2.3086289171739782
FBgn0000279,30,15,4.285205731274426,0.9939840463820802,3.291221684892346
FBgn0000279,36,16,4.010192903815849,0.9939840463820802,3.0162088574337687
FBgn0000279,42,17,4.591869611275594,0.9939840463820802,3.5978855648935135
FBgn0000279,48,18,3.565479216137925,0.9939840463820802,2.571495169755845
FBgn0000279,72,19,4.321372547776637,0.9939840463820802,3.3273885013945566
FBgn0000279,96,20,4.002373983721039,0.9939840463820802,3.008389937338959
FBgn0000279,120,21,3.3684674105123635,0.9939840463820802,2.3744833641302834
FBgn0000406,1,2,9.043691278726397,9.236491427887543,-0.19280014916114574
FBgn0000406,2,3,8.429840201105906,9.236491427887543,-0.8066512267816375
FBgn0000406,3,4,7.357176401255694,9.236491427887543,-1.8793150266318488
FBgn0000406,4,5,7.441115424631062,9.236491427887543,-1.7953760032564814
FBgn0000406,5,6,7.503144467594932,9.236491427887543,-1.7333469602926108
FBgn0000406,6,7,7.399006335459147,9.236491427887543,-1.8374850924283965
FBgn0000406,8,8,7.695486530982638,9.236491427887543,-1.541004896904905
FBgn0000406,10,9,8.695215052050461,9.236491427887543,-0.5412763758370822
FBgn0000406,12,10,8.800620530121694,9.236491427887543,-0.43587089776584875
FBgn0000406,14,11,8.59152237476383,9.236491427887543,-0.6449690531237131
FBgn0000406,16,12,8.948843985689269,9.236491427887543,-0.2876474421982742
FBgn0000406,20,13,9.401893614930547,9.236491427887543,0.16540218704300358
FBgn0000406,24,14,9.309634347786336,9.236491427887543,0.07314291989879251
FBgn0000406,30,15,9.175410441942255,9.236491427887543,-0.061080985945288546
FBgn0000406,36,16,8.981752804167872,9.236491427887543,-0.25473862371967115
FBgn0000406,42,17,9.347405685828367,9.236491427887543,0.11091425794082355
FBgn0000406,48,18,9.625404824222898,9.236491427887543,0.3889133963353544
FBgn0000406,72,19,9.643022147876845,9.236491427887543,0.406530719989302
FBgn0000406,96,20,9.777420687324184,9.236491427887543,0.5409292594366413
FBgn0000406,120,21,9.716433295602947,9.236491427887543,0.4799418677154037
FBgn0000964,1,2,1.9911584413334005,1.9250989443732083,0.0660594969601922
FBgn0000964,2,3,2.351387987810973,1.9250989443732083,0.42628904343776464
FBgn0000964,3,4,2.910017235351106,1.9250989443732083,0.9849182909778977
FBgn0000964,4,5,3.5864301843810384,1.9250989443732083,1.6613312400078302
FBgn0000964,5,6,3.2022429737880547,1.9250989443732083,1.2771440294148464
FBgn0000964,6,7,3.3746041545773484,1.9250989443732083,1.4495052102041401
FBgn0000964,8,8,2.3358873917122147,1.9250989443732083,0.41078844733900644
FBgn0000964,10,9,2.027976380333431,1.9250989443732083,0.10287743596022292
FBgn0000964,12,10,1.9896959115639512,1.9250989443732083,0.06459696719074293
FBgn0000964,14,11,1.8173546581883162,1.9250989443732083,-0.10774428618489207
FBgn0000964,16,12,1.8320616985558038,1.9250989443732083,-0.09303724581740447
FBgn0000964,20,13,1.9305335258870526,1.9250989443732083,0.00543458151384435
FBgn0000964,24,14,2.034029534662487,1.9250989443732083,0.10893059028927876
FBgn0000964,30,15,2.3515961872478397,1.9250989443732083,0.4264972428746314
FBgn0000964,36,16,1.856237425375935,1.9250989443732083,-0.06886151899727322
FBgn0000964,42,17,1.7405892019773015,1.9250989443732083,-0.18450974239590678
FBgn0000964,48,18,1.8527909857533167,1.9250989443732083,-0.07230795861989159
FBgn0000964,72,19,1.891412146552037,1.9250989443732083,-0.03368679782117123
FBgn0000964,96,20,1.621471172644732,1.9250989443732083,-0.3036277717284763
FBgn0000964,120,21,1.774085242596954,1.9250989443732083,-0.15101370177625428
FBgn0001089,1,2,3.45078940280524,3.3586045854751263,0.09218481733011386
FBgn0001089,2,3,3.4608104261000223,3.3586045854751263,0.10220584062489602
FBgn0001089,3,4,3.479393643266923,3.3586045854751263,0.1207890577917965
FBgn0001089,4,5,3.6794186054524785,3.3586045854751263,0.32081401997735215
FBgn0001089,5,6,3.822164820831177,3.3586045854751263,0.46356023535605084
FBgn0001089,6,7,3.4956366387802853,3.3586045854751263,0.137032053305159
FBgn0001089,8,8,4.013814350028068,3.3586045854751263,0.6552097645529416
FBgn0001089,10,9,4.201097828251905,3.3586045854751263,0.8424932427767788
FBgn0001089,12,10,4.123681527853256,3.3586045854751263,0.7650769423781294
FBgn0001089,14,11,4.367976277176086,3.3586045854751263,1.0093716917009599
FBgn0001089,16,12,4.1052719288994854,3.3586045854751263,0.7466673434243591
FBgn0001089,20,13,4.654808065400663,3.3586045854751263,1.2962034799255364
FBgn0001089,24,14,5.117813941867008,3.3586045854751263,1.759209356391882
FBgn0001089,30,15,4.9630088651790905,3.3586045854751263,1.6044042797039642
FBgn0001089,36,16,4.597555551655266,3.3586045854751263,1.23895096618014
FBgn0001089,42,17,4.83141341607864,3.3586045854751263,1.472808830603514
FBgn0001089,48,18,4.8092268900929,3.3586045854751263,1.4506223046177733
FBgn0001089,72,19,5.386281587343839,3.3586045854751263,2.0276770018687125
FBgn0001089,96,20,4.695962151749088,3.3586045854751263,1.3373575662739614
FBgn0001089,120,21,5.245709867277199,3.3586045854751263,1.8871052818020728
